Video,mos_j,sos_j,type,ref,name,bitladder,resolution,bitrate,raw_scores,path,orientation,framerate,content_name,split,height,width
c60c5437880ef5cf74c5df774eeca043,7.427376119407549,1.5566384707528478,Vimeo,0,360p_0.2M_#653248390_25_7_17.mp4,360p_0.2M_,360p,0.2M,"[5, 39, 19, 30, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 10, 0, 5, 0, 0, 2, 11, 16, 8, 0, 19, 0, 0, 18, 42, 8, 30, 6, 20, 0]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,653248390_25_7_17.mp4,test,360,640
b81a19abd9a4758fb62bc522c47060ec,10.098760740521094,2.934191625530763,Vimeo,0,360p_0.2M_#653243868_22_6_16.mp4,360p_0.2M_,360p,0.2M,"[10, 0, 9, 0, 5, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 61, 10, 0, 61, 0, 0, 0, 28, 0, 7, 0, 0, 11, 9, 0, 0, 88, 29, 0, 0, 26]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,653243868_22_6_16.mp4,train,360,640
0f5c3f8765b3fb094d1ea0b86e27d65c,10.691845182904895,2.378047905107761,Vimeo,0,720p_0.5M_#653243868_22_6_16.mp4,720p_0.5M_,720p,0.5M,"[10, 0, 32, 8, 16, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 60, 6, 0, 0, 0, 0, 0, 33, 20, 0, 13, 19, 13, 0, 12, 50, 0, 0, 18]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,653243868_22_6_16.mp4,train,720,1280
aa126bd07381d155730dcc2e4f314569,10.80012218413829,2.6878287477266043,Vimeo,0,1080p_0.5M_#653243868_22_6_16.mp4,1080p_0.5M_,1080p,0.5M,"[9, 8, 0, 10, 26, 6, 8, 0, 0, 0, 0, 0, 0, 0, 9, 60, 70, 0, 0, 0, 0, 0, 21, 5, 0, 0, 12, 29, 4, 0, 8, 29, 0, 0, 27]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,653243868_22_6_16.mp4,train,1080,1920
a559681b24b80c8702d92274c15eb437,11.031141721714812,2.844740603808906,Vimeo,0,360p_0.2M_#779607866_20_5_15.mp4,360p_0.2M_,360p,0.2M,"[6, 1, 10, 0, 29, 7, 17, 4, 5, 0, 8, 9, 0, 0, 9, 0, 19, 64, 0, 9, 29, 13, 23, 9, 0, 0, 14, 28, 71, 4, 8]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,29.501,779607866_20_5_15.mp4,train,360,640
0cc7310138a1b99b90136faf84f501f0,11.483268532200704,2.338671932338581,Vimeo,0,1080p_0.5M_#653248390_25_7_17.mp4,1080p_0.5M_,1080p,0.5M,"[9, 28, 23, 20, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 9, 0, 8, 0, 0, 18, 16, 32, 0, 24, 2, 2, 18, 78, 8, 38, 22, 24, 0]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,653248390_25_7_17.mp4,test,1080,1920
29ea76868c2c567918a3abfc466f069c,11.57730677981908,2.4050594472290414,Vimeo,0,360p_0.2M_#695505174_74_31_41.mp4,360p_0.2M_,360p,0.2M,"[9, 7, 14, 2, 31, 30, 0, 10, 1, 0, 9, 9, 8, 7, 4, 11, 9, 31, 10, 0, 0, 19, 0, 44, 8, 0, 15, 3, 1, 6, 18, 13, 10, 44]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,695505174_74_31_41.mp4,train,360,640
7538de76ca42c5ba3137d9669eff47f3,12.695959343162189,2.7453417427030464,Vimeo,0,360p_0.2M_#881167536_229_109_119.mp4,360p_0.2M_,360p,0.2M,"[0, 10, 2, 3, 0, 0, 9, 0, 9, 0, 13, 0, 0, 0, 7, 14, 14, 0, 0, 20, 0, 5, 38, 42, 4, 1, 13, 39, 28, 27, 72, 7, 8, 30, 23, 15, 38, 9]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,881167536_229_109_119.mp4,train,360,640
ad8affdd94b3c44ae83169fb668ea5c6,12.863745908842652,3.640336919742289,Vimeo,0,360p_0.2M_#797505232_114_52_62.mp4,360p_0.2M_,360p,0.2M,"[9, 0, 3, 0, 0, 0, 0, 13, 4, 1, 0, 5, 3, 0, 3, 9, 0, 0, 28, 0, 3, 4, 0, 62, 10, 0, 0, 9, 35, 40, 29, 0, 0, 30, 90, 49, 24]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.0,797505232_114_52_62.mp4,train,360,640
64d4b2db30015b27188ad089e61733ba,13.62391770817784,2.5600655074835115,Crowd,0,360p_0.2M_#Files_Dec20_PXL_20231217_060431707_1_11.mp4,360p_0.2M_,360p,0.2M,"[4, 8, 7, 13, 0, 0, 0, 0, 0, 28, 16, 2, 10, 12, 28, 31, 23, 0, 0, 13, 72, 0, 10, 35, 8, 20, 8, 10, 9, 35, 6, 10]",/mnt/LIVELAB_NAS/shreshth/Crowd/Trans_valid_videos/,Portrait,30.0,Files_Dec20_PXL_20231217_060431707_1_11.mp4,validation,640,360
ac5f4e3816bc7f97c7a7291b09e4b3a0,13.67508618238659,2.729645995656562,Vimeo,0,360p_0.2M_#886328120_115_52_62.mp4,360p_0.2M_,360p,0.2M,"[4, 4, 81, 15, 0, 4, 19, 9, 0, 9, 44, 61, 9, 0, 9, 9, 25, 10, 0, 0, 0, 9, 23, 11, 31, 0, 0, 8, 7, 24, 9, 3, 19, 28]",/mnt/LIVELAB_NAS/shreshth/Vimeo/HDR_transcoded/,Landscape,30.124,886328120_115_52_62.mp4,train,360,640
